sku,name,weight,width,depth,height
9319912021104,Riodine Antiseptic Solution 100ml,150,8,3,3
//9325024000975,12Reasons Marula Oil Hair Serum 100ml,0,0,0,0
/5202236137610,ERRE DUE Smooth Stick Concealer 201 Light,0,0,0,0
9338817012062,Glasshouse Fragrances We Met In Saigon Hand Cream Lemongrass 100ml,200,5,5,15
731275887101,Good Riddance Tropical Insect Repellent 100ml,150,5,3,12
//9311262071440,Arkopharma Arthro-Aid Direct Roll-On 100ml,0,0,0,0
4001638095112,Weleda Stretch Mark Massage Oil 100ml,260,6,13.9,3.8
//9317222000376,EpZen Sleep Magnesium Body Spray 100ml,0,0,0,0
//3282770144819,Klorane Organic Cupuacu Repairing Mask 150ml,0,0,0,0
9369999610432,Oral Electrolyte Solution 1 Litre - Apple Raspberry,1300,12,12,22
9316120100959,Brauer Baby & Child Sleep Oral Liquid 100ml,250,8,8,12
//5202236134718,ERRE DUE Skinlike Foundation 201 Beige Like,0,0,0,0
/731509754261,KISS Tintation Semi-Permanent Colour Treatment T340 Vivid Violet 148ml,300,6,6,18
871760003187,Sun Bum After Sun Aloe Cool Down Spray 177ml,230,6,6,22
9348107007098,Eaoron Argan Oil Hair Oil 100 ml,200,4,8,10
//7610313415175,A.VOGEL Echinaforce Cold & Flu Hot Drink Syrup 100ml,100,10,5,5
//9420005397553,The Aromatherapy Co. Limited Edition Passionfruit Pavlova Candle 350g,500,0,0,0
9310460110166,Lady Jayne Flexi-Glide Brush Small 11016,0,0,0,0
//9329224002012,Dermal Therapy Little Bodies Eczema Wash & Shampoo 210ml,350,12,5,16
810020173208,Bondi Sands Gradual Tanning Lotion Tinted Skin Perfector 150ml,300,5,5,15
9300605142756,NANCARE Probiotic Drops For Everyday Gut & Digestive Health 10ml,100,5,5,10
4005833407008,Rowo Herbal Sports Gel 100ml,200,12,5,18
9310460171242,Lady Jayne Flexi-Shine Detangling Brush 17124,0,0,0,0
9358732000128,STUFF Face Wash 125ml,125,5,5,12
//8716569033183,Re-Cycle-Me Steam Collection Science Craft Projects,0,0,0,0
//9332519113362,Splosh Flying Light Up House,200,0,0,0
//9400581047660,Musashi 100% Whey Vanilla Milkshake 330g,0,0,0,0
871760000520,Sun Bum 3 in 1 Leave in 118ml,160,5,5,17
