sku	name	weight	height	width	depth
9348082001128	Every Bit Organic Pure Styrian Pumpkin Seed Oil 250ml	0	0	0	0
/9416967177258	Neat Feat 3B Face Saver Gel 50g	0	0	0	0
4987176014351	Clearblue Early Detection Pregnancy Test 3 Pack	0	18	10	5
79625071191	EcoTools 7119A Loofah Body Sponge	0	20	12	3
9359702000179	We Are Feel Good Inc. Sensitive Sunscreen SPF 50+ 200ml	0	9	10	10
9321582002895	Harmony Menopause Day & Night 45 Tablets	0	0	0	0
9316120195450	Brauer Kids Manuka Honey Chesty Cough Oral Liquid 100ml	0	0	0	0
9300673854742	Polident Whitening Daily Cleanser for Dentures 36 Tablets	0	0	0	0
3401399545405	Bioderma Cicabio Pommade 40ml	0	0	0	0
9338817011836	Glasshouse Fragrances Melbourne Muse Soy Candle Coffee Flower & Vanilla 380g	500	0	0	0
9338817011843	Glasshouse Fragrances Midnight In Milan Soy Candle Saffron & Rose 380g	500	0	0	0
9338817011805	Glasshouse Fragrances Sydney Sundays Soy Candle Neroli & Pink Pepper 380g	500	0	0	0
8801051019452	Reach Between Soft Toothbrush	150	0	0	0
7618900903012	Mavala Stop 10ml	0	0	0	0
72140466459	FUTURO Performance Ankle Stabilizer 46645ENR	0	0	0	0
764302312437	Shea Moisture Manuka Honey & Yogurt Hydrate + Repair Shampoo 384ml	0	0	0	0
71164302262	HASK Oil 5-in-1 Leave-in Spray 175ml	0	0	0	0
034533030296	Manicare Mini Tweezers	0	0	0	0
/9325024007400	Dateline Professional Blue Celcon Tail Comb 510 Stainless Steel Pin	0	0	0	0
/840061000096	One 'N Only Argan Oil Smoothing Mousse 250g	0	0	0	0
9369999051389	5PointDetox Herbal Detox Tonic 500ml	0	0	0	0
9336628001442	Piksters SupaGRIP Flosser + Toothpick 20 Pack	0	10	8	5
9312657131084	Jack N' Jill Bio Toothbrush Dino	0	0	0	0
800307811336	Helios French Manicure Medium Pink 24 Pack	0	0	0	0
736473102568	Bass Brush Bamboo Semi Shape	0	0	0	0
9300701002329	Gaviscon Dual Action Liquid Heartburn & Indigestion Relief Peppermint 300ml	320	0	0	0
9317408013923	Sally Hansen Strengthening Nail Polish Remover 150ml	150	0	0	0
877365001245	Waxaway Ready To Use Facial Wax 20 Strips	0	0	0	0
83078015183	Carmex Naturally Intense Hydrating Watermelon Lip Balm 4.25g	0	0	0	0
9400581049237	Musashi Shaker Bottle 400ml	0	0	0	0
9323705000016	Promensil Menopause 30 Tablets	0	10	12	6
8699245892116	Otifleks Flier Earplugs Medium 1 pair	0	0	0	0
8699245891225	Otifleks Invisible Good Sleep Earplugs XLarge 1 pair	100	0	0	0
9316542126025	Natio Define Eye Pencil - Black	100	0	0	0
9316542147273	Natio Apply & Blend Eyeshadow Brush	150	0	0	0
9323857000582	Optifresh Plus Eye Drops 1% 30 x 0.4ml Vials	0	0	0	0
9316542141349	Natio Lip Colour - Nectar	100	0	0	0
5052197038125	Scholl Mens Gel Activ Work Insoles Size 7-12 1 Pair	0	0	0	0
9300631749974	Scholl Freeze Verruca & Wart Remover 80ml	0	0	0	0
5038483956403	Scholl Scholl Fungal Nail Treatment 3.8ml	0	0	0	0
9300631781127	Scholl EXPERTCARE Dry Skin PediMask 1 Pair	0	20	20	2
8809089291758	Skin Republic Charcoal Nose Strip (6 Nose Strips)	0	20	15	1
/9310045950255-9	Glen 20 Spray Disinfectant Original Scent 300g*9 Box	300	0	0	0
15594010229	Astroglide Water-Based Personal Lubricant 74ml	0	0	0	0
9316542134419	Natio Tinted Moisturiser SPF50+ Medium	100	0	0	0
9317934061306	Bushman Ultra Aerosol 40% DEET 130g	0	0	0	0
/5202236117773	ERRE DUE Lasting Contour Lip Pencil 77	0	0	0	0
/5202236206316	ERRE DUE Lip Shine Gloss 202 Dunes Of A Poet	0	0	0	0
/5202236206323	ERRE DUE Lip Shine Gloss 203 Dacote Darling	0	0	0	0
/5202236206330	ERRE DUE Lip Shine Gloss 204 Puppy Sugar	0	0	0	0
/5202236206385	ERRE DUE Lip Shine Gloss 209 Sun Clone	0	0	0	0
/5202236151548	ERRE DUE Luminous Duo Eyeshadow 504 Sweet November	0	0	0	0
/5202236151555	ERRE DUE Luminous Duo Eyeshadow 505 Girly Gossips	0	0	0	0
/5202236151562	ERRE DUE Luminous Duo Eyeshadow 506 Dare & Take Care	0	0	0	0
/5202236159063	ERRE DUE Luminous Perfecting Primer	0	0	0	0
/5202236115069	ERRE DUE Neverending Foundation 16hrs 06 Warm Almond	0	0	0	0
/5202236115076	ERRE DUE Neverending Foundation 16hrs 07A Perfect Match	0	0	0	0
/5202236157793	ERRE DUE Perfect Brow Powder 71 Sand	0	0	0	0
/5202236157809	ERRE DUE Perfect Brow Powder 72 Earth	0	0	0	0
/5202236159674	ERRE DUE Perfect Brow Tattoo 101 Oak	0	0	0	0
/5202236159681	ERRE DUE Perfect Brow Tattoo 102 Wenge	0	0	0	0
/5202236134015	ERRE DUE Perfect Mat Foundation 00 Pure Linen	0	0	0	0
/5202236134121	ERRE DUE Perfect Mat Foundation 02 Silent Dune	0	0	0	0
/5202236134152	ERRE DUE Perfect Mat Foundation 05 Mocha	0	0	0	0
/5202236134169	ERRE DUE Perfect Mat Foundation 06 Summer Tan	0	0	0	0
/5202236134213	ERRE DUE Perfect Mat Touch Foundation 301 Pale Ivory	0	0	0	0
/5202236134244	ERRE DUE Perfect Mat Touch Foundation 304 Warm Taupe	0	0	0	0
/5202236134251	ERRE DUE Perfect Mat Touch Foundation 305 Gold Bronze	0	0	0	0
/5202236758037	ERRE DUE Perfect Matte Lipstick 803 Curiosity	0	0	0	0
/5202236758099	ERRE DUE Perfect Matte Lipstick 809 Defeat	0	0	0	0
/5202236758105	ERRE DUE Perfect Matte Lipstick 810 Envy	0	0	0	0
9336628005457	Designer White Toothpaste Tooth Toner Purple 75ml	300	0	0	0
9336628005983	Designer White Tooth Toner Whitening Strips 28 Pack	300	0	0	0
792850026759	Burt's Bees Vanilla Bean Lip Balm	0	0	0	0
7332551816391	Mepilex Border AG Dressing 7.5cm x 7.5cm Single	50	0	0	0
9356170001660	Beforeyouspeak Thermo Coffee Unsweetened 30 Sachets	0	0	0	0
/076351000709	Color Lux Colour Cleansing Conditioner Blush 244ml	0	0	0	0
851228005038	Hurraw Chocolate Lip Balm 4.8g	0	0	0	0
/9325024112425	Salon Smart Premium Salon Single Towel Black	0	0	0	0
685674759609	Teelixir Red Pine Needle Oil 30ml	0	0	0	0
9314807008765	Brut Refresh Aftershave Lotion	0	0	0	0
/5202236157755	ERRE DUE Radiance Cream 400 Queen For A Day	0	0	0	0
/5202236159896	ERRE DUE Radiance Cream 401 Melting Queen	0	0	0	0
/5202236143260	ERRE DUE Satin Eyeshadow 306 Military Pants	0	0	0	0
/5202236143307	ERRE DUE Satin Eyeshadow 310 Dare To Dream	0	0	0	0
/5202236143314	ERRE DUE Satin Eyeshadow 311 Midnight Mood	0	0	0	0
/5202236187011	ERRE DUE Sheer Lipstick 501 Pixie Dust	0	0	0	0
/5202236159292	ERRE DUE Silky Premium Eye Definer 24hrs 405 Malt	0	0	0	0
/5202236159391	ERRE DUE Silky Premium Eye Definer 24hrs 415 Pansy	0	0	0	0
/5202236159407	ERRE DUE Silky Premium Eye Definer 24hrs 416 Fig	0	0	0	0
/5202236159414	ERRE DUE Silky Premium Eye Definer 24hrs 417 Grape	0	0	0	0
/5202236159421	ERRE DUE Silky Premium Eye Definer 24hrs 418 Plum	0	0	0	0
/5202236159445	ERRE DUE Silky Premium Eye Definer 24hrs 420 Raisin	0	0	0	0
/5202236159469	ERRE DUE Silky Premium Lip Definer 502 Rose	0	0	0	0
/5202236159483	ERRE DUE Silky Premium Lip Definer 504 Spicy	0	0	0	0
/5202236159513	ERRE DUE Silky Premium Lip Definer 507 Syrah	0	0	0	0
/5202236159537	ERRE DUE Silky Premium Lip Definer 509 Ruby	0	0	0	0
/5202236159551	ERRE DUE Silky Premium Lip Definer 511 Scarlet	0	0	0	0
/5202236159575	ERRE DUE Silky Premium Lip Definer 513 Magenta	0	0	0	0
/5202236159582	ERRE DUE Silky Premium Lip Definer 514 Gum	0	0	0	0
/5202236159605	ERRE DUE Silky Premium Lip Definer 516 Punch	0	0	0	0
/5202236159612	ERRE DUE Silky Premium Lip Definer 517 Autumn	0	0	0	0
/5202236159636	ERRE DUE Silky Premium Lip Definer 519 Muffin	0	0	0	0
/5202236159643	ERRE DUE Silky Premium Lip Definer 520 Cookie	0	0	0	0
/5202236116059	ERRE DUE Skin Perfection Foundation 05 Honey Beige	0	0	0	0
/5202236116066	ERRE DUE Skin Perfection Foundation 06 Brown Sugar	0	0	0	0
/5202236116035	ERRE DUE Skin Perfection Foundation 03 Creme Brulee	0	0	0	0
/5202236116042	ERRE DUE Skin Perfection Foundation 04 Neutral	0	0	0	0
/5202236116073	ERRE DUE Skin Perfection Foundation 07 Praline	0	0	0	0
/5202236137610	ERRE DUE Smooth Stick Concealer 201 Light	0	0	0	0
/5202236137634	ERRE DUE Smooth Stick Concealer 03	0	0	0	0
/5202236154020	ERRE DUE Sparkling Powder 402 Endless Summer	0	0	0	0
/5202236205050	ERRE DUE True Cover Concealer 105 Sand	0	0	0	0
93327381	Ego SOOV Bite 25g	0	0	0	0
4021457625185	Lavera Protect & Repair Lip Balm 4.5g	0	0	0	0
9326628238078	Pain Away atheLITE Heat Patches 7 Pack	0	0	0	0
9326628088888	Pain Away Forte+ Arthritis Pain Relief Cream 70g	0	0	0	0
9326628141088	Pain Away Forte+ Arthritis Pain Relief Spray 100ml	0	0	0	0
9326628106889	Pain Away Forte+ Ultra Pro Joint & Muscle Pain Relief Cream 70g	0	0	0	0
9326628291080	Pain Away Forte+ Ultra Pro Joint & Muscle Pain Relief Spray 100ml	0	0	0	0
