petrie,bunda,con,franklin,web,total,sku,name,on_web,soh_web,price,sale_price,sale_percent,is_deleted_minfos,is_deleted,is_visible,is_retired,num_tiggles,bcid
0,0,0,0,0,0,9310488015160,~PTC -ROBITUSSIN HNY/COUGH LOZ HNY/LMN 2,false,0,4.95,0,4.95,false,false,false,false,0,
0,0,0,0,0,0,9310488323111,~PTC - ROBITUSSIN EX PAED DROP 50ML,false,0,11.65,0,11.65,false,false,false,false,0,
7,7,11,12,26,37,9310488022915,ROBITUSSIN C/COUGH 200ML,true,26,19.95,0,19.95,false,false,true,false,0,5133
9,4,18,3,32,34,9310488001002,ROBITUSSIN COLD&CCOUGH SYP 200ML,true,32,19.95,0,19.95,false,false,true,false,0,5136
0,0,0,0,0,0,9310488003310,\ROBITUSSIN DRY COUGH PLUS 240ML,false,0,16.95,0,16.95,true,false,false,false,0,
0,0,0,0,0,0,9310488022885,ROBITUSSIN COUGH & CHEST CONGEST 200ML,true,0,19.95,0,19.95,false,false,true,false,0,3196
0,0,0,0,0,0,9310488012749,\ROBITUSSIN ME 100ML,false,0,12.95,0,12.95,true,false,false,false,0,
0,0,0,0,0,0,9310488016303,~ROBITUSSIN HNY/COUGH LOZ CITRUS,false,0,4.95,0,4.95,false,false,false,false,0,
-2,0,0,-1,0,0,9310488022854,ROBITUSSIN DRY COUGH FORTE 200ML,true,0,19.95,0,19.95,false,false,true,false,0,5135
6,2,6,5,6,19,9310488022946,ROBITUSSIN C/COUGH FORTE 200ML,true,6,19.95,0,19.95,false,false,true,false,0,5134
0,0,0,0,0,0,9310488333110,ROBITUSSIN PS 200ML 1 #DISC,false,0,18.95,0,18.95,false,false,false,false,0,
0,0,0,0,0,0,9310488015177,~ROBITUSSIN LOZ HERB/CARML 20,false,0,4.95,0,4.95,false,false,false,false,0,
0,0,0,0,0,0,9310488014521,~ROBITUSSIN COUGH HONEY EX 235M,false,0,18.35,0,18.35,false,false,false,false,0,
0,0,0,0,0,0,9310488022939,\ROBITUSSIN CCOUGH FORTE 100ML,false,0,10.95,0,10.95,true,false,false,false,0,
0,0,0,0,0,0,9310488016334,~PTC -ROBITUSSIN HNY/COUGH LOZ EUC/MEN 2,false,0,4.95,0,4.95,false,false,false,false,0,
0,0,0,0,0,0,9310488000982,\ROBITUSSIN C/COUGH & NSL/CON PE 200ML,false,0,16.95,0,16.95,true,false,false,false,0,
0,0,0,0,0,0,9310488341115,ROBITUSSIN-PS LIQ 100ML 1,false,0,12.35,0,12.35,false,false,false,false,0,
0,0,0,0,0,0,9310488014538,ROBITUSSIN-DM-P-XS SYRUP 100ML 1,false,0,12.35,0,12.35,false,false,false,false,0,
0,0,0,0,0,0,9310488000623,~ROBITUSSIN MUCUS RFL DBL ACTN 200ML,false,0,17.95,0,17.95,false,false,false,false,0,
0,0,0,0,0,0,9310488014545,ROBITUSSIN DM-P XS SYRUP 200ML 1  #DISC,false,0,18.65,0,18.65,false,false,false,false,0,
0,0,0,0,0,0,9310488022847,~PTC - ROBITUSSIN DX 100ML EXT/STR,false,0,13.6,0,13.6,false,false,false,false,0,
0,0,0,0,0,0,9310488018789,~ROBITUSSIN C/COUGH & NSL/CON PE 235ML,false,0,19.95,0,19.95,false,false,false,false,0,
0,0,0,0,0,0,9310488321117,\ROBITUSSIN EX 100ML S/FREE,false,0,12.95,0,12.95,true,false,false,false,0,
0,0,0,0,0,0,9310488022878,~PTC - ROBITUSSIN DM 100ML S/FREE,false,0,13.95,0,13.95,false,false,false,false,0,
0,0,0,0,0,0,9310488016297,~ROBITUSSIN HONEY CALMERS LOZ BRY,false,0,4.95,0,4.95,false,false,false,false,0,
0,0,0,0,0,0,9310488013333,~ROBITUSSIN DX 200ML EXT STR,false,0,20.5,0,20.5,false,false,false,false,0,
0,0,0,0,0,0,9310488014552,~PTC -ROBITUSSIN HNY/COUGH LOZ HRB/MEN 2,false,0,4.95,0,4.95,false,false,false,false,0,
